timestamp,x.vel,y.vel,theta.vel
182935.885970125,0.0,0.0,0.0
182935.919326583,0.0,0.0,0.0
182935.954700166,0.0,0.0,0.0
182935.988043041,0.0,0.0,0.0
182936.022573041,0.0,0.0,0.0
182936.057931958,0.0,0.0,0.0
182936.093288625,0.0,0.0,0.0
182936.128646083,0.0,0.0,0.0
182936.164000375,0.0,0.0,0.0
182936.199357916,0.0,0.0,0.0
182936.234738541,0.0,0.0,0.0
182936.268084666,0.0,0.0,0.0
182936.301427083,0.0,0.0,0.0
182936.335238791,0.0,0.0,0.0
182936.368582125,0.0,0.0,0.0
182936.401923666,0.0,0.0,0.0
182936.437272208,0.0,0.0,0.0
182936.472641583,0.0,0.0,0.0
182936.508013833,0.0,0.0,0.0
182936.543399208,0.0,0.0,0.0
182936.577415083,0.0,0.0,0.0
182936.612831958,0.0,0.0,0.0
182936.648207666,0.0,0.0,0.0
182936.683580458,0.0,0.0,0.0
182936.718955333,0.0,0.0,0.0
182936.754330958,0.0,0.0,0.0
182936.789706083,0.0,0.0,0.0
182936.823055416,0.0,0.0,0.0
182936.857565916,0.0,0.0,-90.0
182936.892949083,0.0,0.0,-90.0
182936.926297666,0.0,0.0,-90.0
182936.9601525,0.0,0.0,-90.0
182936.995523166,0.0,0.0,-90.0
182937.030886291,0.0,0.0,-90.0
182937.066248166,0.0,0.0,-90.0
182937.100074083,0.0,0.0,-90.0
182937.135257083,0.0,0.0,-90.0
182937.168602708,0.0,0.0,-90.0
182937.201946125,0.0,0.0,-90.0
182937.235289791,0.0,0.0,-90.0
182937.270635291,0.0,0.0,-90.0
182937.303970833,0.0,0.0,-90.0
182937.339310583,0.0,0.0,-90.0
182937.372871416,0.0,0.0,-90.0
182937.4078475,0.0,0.0,-90.0
182937.443203291,0.0,0.0,-90.0
182937.476545208,0.0,0.0,-90.0
182937.51074225,0.0,0.0,-90.0
182937.544085,0.0,0.0,-90.0
182937.578758041,0.0,0.0,-90.0
182937.612189208,0.0,0.0,-90.0
182937.647561458,0.0,0.0,-90.0
182937.682927833,0.0,0.0,-90.0
182937.718296958,0.0,0.0,-90.0
182937.753679791,0.0,0.0,-90.0
182937.787023416,0.0,0.0,-90.0
182937.820367208,0.0,0.0,-90.0
182937.855729833,0.0,0.0,-90.0
182937.891091416,0.0,0.0,-90.0
182937.924432958,0.0,0.0,-90.0
182937.959200791,0.0,0.0,-90.0
182937.994541916,0.0,0.0,-90.0
182938.029882958,0.0,0.0,-90.0
182938.065222166,0.0,0.0,-90.0
182938.09855725,0.0,0.0,-90.0
182938.132128166,0.0,0.0,-90.0
182938.167469208,0.0,0.0,-90.0
182938.20280925,0.0,0.0,-90.0
182938.238149333,0.0,0.0,-90.0
182938.273489958,0.0,0.0,-90.0
182938.308855875,0.0,0.0,-90.0
182938.344237291,0.0,0.0,-90.0
182938.3796135,0.0,0.0,-90.0
182938.41295625,0.0,0.0,-90.0
182938.448321208,0.0,0.0,-90.0
182938.481663666,0.0,0.0,-90.0
182938.515008666,0.0,0.0,-90.0
182938.548848541,0.0,0.0,-90.0
