timestamp,x.vel,y.vel,theta.vel
182990.44135775,0.0,0.0,0.0
182990.476742958,0.0,0.0,0.0
182990.512114958,0.0,0.0,0.0
182990.545654208,0.0,0.0,0.0
182990.578999,0.0,0.0,0.0
182990.612903541,0.0,0.0,0.0
182990.648265375,0.0,0.0,0.0
182990.683634375,0.0,0.0,0.0
182990.719001,0.0,0.0,0.0
182990.75234275,0.0,0.0,0.0
182990.786567416,0.0,0.0,0.0
182990.819955291,0.0,0.0,0.0
182990.855330541,0.0,0.0,0.0
182990.890703916,0.0,0.0,0.0
182990.924050916,0.0,0.0,0.0
182990.957401,0.0,0.0,0.0
182990.992783833,0.0,0.0,0.0
182991.028088416,0.0,0.0,0.0
182991.061432958,0.0,0.0,0.0
182991.094776583,0.0,0.0,0.0
182991.128122375,0.0,0.0,0.0
182991.163494625,0.0,0.0,-90.0
182991.198863125,0.0,0.0,-90.0
182991.234231416,0.0,0.0,-90.0
182991.268313625,0.0,0.0,-90.0
182991.303692291,0.0,0.0,-90.0
182991.337039541,0.0,0.0,-90.0
182991.370387,0.0,0.0,-90.0
182991.403734958,0.0,0.0,0.0
182991.437093708,0.0,0.0,0.0
182991.470443166,0.0,0.0,0.0
182991.5037925,0.0,0.0,0.0
182991.53917425,0.0,0.0,0.0
182991.574551791,0.0,0.0,90.0
182991.6099245,0.0,0.0,90.0
182991.645307208,0.0,0.0,90.0
182991.680697375,0.0,0.0,90.0
182991.714049791,0.0,0.0,90.0
182991.747397083,0.0,0.0,90.0
182991.780743416,0.0,0.0,90.0
182991.814647,0.0,0.0,90.0
182991.849991458,0.0,0.0,90.0
182991.885333583,0.0,0.0,90.0
182991.92067425,0.0,0.0,0.0
182991.956037791,0.0,0.0,0.0
182991.989381291,0.0,0.0,0.0
182992.024758583,0.0,0.0,-90.0
182992.058100458,0.0,0.0,-90.0
182992.093465791,0.0,0.0,-90.0
182992.12798,0.0,0.0,-90.0
182992.161326958,0.0,0.0,-90.0
182992.196695875,0.0,0.0,-90.0
182992.2320685,0.0,0.0,-90.0
182992.26541575,0.0,0.0,-90.0
182992.298765666,0.0,0.0,-90.0
182992.33210775,0.0,0.0,0.0
182992.367470333,0.0,0.0,0.0
182992.402849208,0.0,0.0,0.0
182992.436680666,0.0,0.0,90.0
182992.472055291,0.0,0.0,90.0
182992.505891791,0.0,0.0,90.0
182992.539239416,0.0,0.0,90.0
182992.574616083,0.0,0.0,90.0
182992.609997625,0.0,0.0,90.0
182992.643347791,0.0,0.0,90.0
182992.677141416,0.0,0.0,90.0
182992.712542916,0.0,0.0,90.0
182992.746654583,0.0,0.0,90.0
182992.780828416,0.0,0.0,0.0
182992.8161955,0.0,0.0,0.0
182992.851562291,0.0,0.0,0.0
182992.88491175,0.0,0.0,-90.0
182992.91826025,0.0,0.0,-90.0
182992.9521715,0.0,0.0,-90.0
182992.987547458,0.0,0.0,-90.0
182993.020893208,0.0,0.0,-90.0
182993.054240791,0.0,0.0,-90.0
182993.087585375,0.0,0.0,-90.0
182993.120931375,0.0,0.0,-90.0
182993.154278625,0.0,0.0,-90.0
182993.189621041,0.0,0.0,-90.0
182993.224573125,0.0,0.0,0.0
182993.257915375,0.0,0.0,0.0
182993.293282708,0.0,0.0,0.0
182993.328660208,0.0,0.0,0.0
182993.362904625,0.0,0.0,90.0
182993.398279833,0.0,0.0,90.0
182993.431629125,0.0,0.0,90.0
182993.46497925,0.0,0.0,90.0
182993.500354041,0.0,0.0,90.0
182993.53440575,0.0,0.0,90.0
182993.569791208,0.0,0.0,90.0
182993.605186833,0.0,0.0,90.0
182993.640553291,0.0,0.0,0.0
182993.675920041,0.0,0.0,0.0
182993.709264541,0.0,0.0,0.0
182993.742612666,0.0,0.0,0.0
182993.775961291,0.0,0.0,0.0
182993.811350875,0.0,0.0,-90.0
182993.846055041,0.0,0.0,-90.0
182993.881430958,0.0,0.0,-90.0
182993.916806625,0.0,0.0,-90.0
182993.951569291,0.0,0.0,-90.0
182993.984922041,0.0,0.0,0.0
182994.018272375,0.0,0.0,0.0
182994.053637541,0.0,0.0,0.0
182994.087133708,0.0,0.0,0.0
182994.120480291,0.0,0.0,0.0
182994.153824458,0.0,0.0,0.0
182994.18918625,0.0,0.0,0.0
182994.224554583,0.0,0.0,0.0
182994.259924166,0.0,0.0,0.0
182994.293268625,0.0,0.0,0.0
182994.328097416,0.0,0.0,0.0
182994.363462166,0.0,0.0,0.0
182994.39883275,0.0,0.0,0.0
182994.4321795,0.0,0.0,0.0
182994.46552425,0.0,0.0,0.0
182994.500891333,0.0,0.0,0.0
182994.536266208,0.0,0.0,0.0
182994.570984333,0.0,0.0,0.0
182994.604337083,0.0,0.0,0.0
182994.639714708,0.0,0.0,0.0
182994.67509025,0.0,0.0,0.0
182994.710485125,0.0,0.0,0.0
182994.745913916,0.0,0.0,0.0
182994.779266416,0.0,0.0,0.0
182994.814633708,0.0,0.0,0.0
182994.850003958,0.0,0.0,0.0
182994.88494875,0.0,0.0,0.0
182994.920316708,0.0,0.0,0.0
182994.955683916,0.0,0.0,0.0
182994.9890305,0.0,0.0,0.0
182995.022377583,0.0,0.0,0.0
