timestamp,x.vel,y.vel,theta.vel
183108.209009208,0.0,0.0,0.0
183108.242362666,0.0,0.0,0.0
183108.277732666,0.0,0.0,0.0
183108.313096375,0.0,0.0,0.0
183108.34816,0.0,0.0,0.0
183108.383549875,0.0,0.0,0.0
183108.41892575,0.0,0.0,0.0
183108.452273833,0.0,0.0,0.0
183108.4876435,0.0,0.0,0.0
183108.523007541,0.0,0.0,0.0
183108.558367791,0.0,0.0,0.0
183108.593733083,0.0,0.0,0.0
183108.627076,0.0,0.0,0.0
183108.660417875,0.0,0.0,0.0
183108.69579625,0.0,0.0,0.0
183108.729140291,0.0,0.0,0.0
183108.762683125,0.0,0.0,0.0
183108.797730708,0.0,0.0,0.0
183108.833101208,0.0,0.0,0.0
183108.867771291,0.0,0.0,0.0
183108.901119416,0.0,0.0,0.0
183108.9358575,0.0,0.0,0.0
183108.969437625,0.0,0.0,0.0
183109.002783208,0.0,0.0,0.0
183109.036132,0.0,0.0,0.0
183109.071505375,0.0,0.0,0.0
183109.105552708,0.0,0.0,0.0
183109.140082083,0.0,0.0,0.0
183109.175453416,0.0,0.0,0.0
183109.210830791,0.0,0.0,0.0
183109.246213958,0.0,0.0,0.0
183109.281595291,0.0,0.0,0.0
183109.31696925,0.0,0.0,0.0
183109.352339291,0.0,0.0,0.0
183109.387710166,0.0,0.0,0.0
183109.423078583,0.0,0.0,0.0
183109.458568208,0.3,0.0,0.0
183109.493939375,0.3,0.0,0.0
183109.527329666,0.3,0.0,0.0
183109.560674208,0.3,0.0,0.0
183109.596046708,0.3,0.0,0.0
183109.629394833,0.3,0.0,0.0
183109.662741041,0.3,0.0,0.0
183109.696083416,0.3,0.0,0.0
183109.731434625,0.3,0.0,0.0
183109.766429833,0.0,0.0,0.0
183109.799765958,0.0,0.0,0.0
183109.83512725,0.0,0.0,0.0
183109.86847025,0.0,0.0,0.0
183109.901818,0.0,0.0,0.0
183109.935878,0.0,0.0,0.0
183109.969434458,0.0,0.0,0.0
183110.002787958,0.0,0.0,0.0
183110.038157666,0.0,0.0,0.0
183110.071501666,0.0,0.0,0.0
183110.106867958,0.0,0.0,0.0
183110.140214541,0.0,0.0,0.0
183110.17355875,0.0,0.0,0.0
183110.208931708,0.0,0.0,0.0
183110.244162916,0.0,0.0,0.0
183110.277511916,0.0,0.0,0.0
183110.310862916,0.0,0.0,0.0
183110.34625225,0.0,0.0,0.0
183110.379603125,0.0,0.0,0.0
183110.412950875,0.0,0.0,0.0
183110.446301375,0.0,0.0,0.0
183110.481687583,0.0,0.0,0.0
183110.517075958,0.0,0.0,0.0
183110.552470791,0.0,0.0,0.0
183110.585819333,0.0,0.0,0.0
183110.619498208,0.0,0.0,0.0
183110.654885208,0.0,0.0,0.0
183110.68823525,0.0,0.0,0.0
183110.723629125,0.0,0.0,0.0
183110.756976416,0.0,0.0,0.0
183110.792354416,0.0,0.0,0.0
183110.825704958,0.0,0.0,0.0
183110.861089458,0.0,0.0,0.0
183110.89647325,0.0,0.0,0.0
183110.931858916,0.0,0.0,0.0
183110.967248416,0.0,0.0,0.0
183111.001584541,0.0,0.0,0.0
183111.034935166,0.0,0.0,0.0
183111.068281625,0.0,0.0,0.0
183111.103653666,0.0,0.0,0.0
183111.139033791,0.0,0.0,0.0
183111.17441525,0.0,0.0,0.0
183111.207765333,0.0,0.0,0.0
183111.241117083,0.0,0.0,0.0
183111.276519208,0.0,0.0,0.0
183111.310914708,0.0,0.0,0.0
183111.344264333,0.0,0.0,0.0
183111.377612416,-0.3,0.0,0.0
183111.412987708,-0.3,0.0,0.0
183111.448355916,-0.3,0.0,0.0
183111.483740791,0.0,0.0,0.0
183111.517094333,0.0,0.0,0.0
183111.5504435,0.0,0.0,0.0
183111.585700708,-0.3,0.0,0.0
183111.61905325,-0.3,0.0,0.0
183111.654418458,0.0,0.0,0.0
183111.687763875,0.0,0.0,0.0
183111.721111375,0.0,0.0,0.0
183111.755491833,0.0,0.0,0.0
183111.788845916,0.0,0.0,0.0
183111.822195958,0.0,0.0,0.0
183111.855546208,0.0,0.0,0.0
183111.890924875,0.0,0.0,0.0
183111.926073708,0.0,0.0,0.0
183111.959937875,0.0,0.0,0.0
183111.995314541,0.0,0.0,0.0
183112.028661708,0.0,0.0,0.0
183112.064048916,0.0,0.0,0.0
183112.09943475,0.0,0.0,0.0
183112.134176416,0.0,0.0,0.0
183112.167528958,0.0,0.0,0.0
183112.201082333,0.0,0.0,0.0
183112.236450083,0.0,0.0,0.0
183112.269794916,0.0,0.0,0.0
183112.303140625,0.0,0.0,0.0
183112.33648575,0.0,0.0,0.0
183112.369832625,0.0,0.0,0.0
183112.405199916,0.0,0.0,0.0
183112.440572666,0.0,0.0,0.0
183112.475949,0.0,0.0,0.0
183112.509917625,0.0,0.0,0.0
183112.54326725,0.0,0.0,0.0
183112.578651833,0.0,0.0,0.0
183112.612001958,0.0,0.0,0.0
183112.645349791,0.0,0.0,0.0
183112.678705916,0.0,0.0,0.0
183112.712179666,0.0,0.0,0.0
183112.74552525,0.0,0.0,0.0
183112.780894291,0.0,0.0,0.0
183112.816301666,0.0,0.0,0.0
